SubcategoryIDOld,CategoryIDOld,InstitutionID,SubcategoryTitle,SubcategoryIDNew,CategoryIDNew,SubcategoryTitleNew
2798,78,47,"Maxing Tape",NULL,NULL,NULL
2799,137,47,"Gaging of tyres",NULL,NULL,NULL
2800,137,47,Hub,NULL,NULL,NULL
2801,137,47,"Engine Oil",NULL,NULL,NULL
2802,144,47,"fuel consumption",NULL,NULL,NULL
2803,143,47,"fuel consumption",NULL,NULL,NULL
2804,137,47,"fuel consumption",NULL,NULL,NULL
2841,195,47,"Hard Materials",NULL,NULL,NULL
2842,71,47,"Welding works",NULL,NULL,NULL
2887,81,47,"uniforms supplied part payment",NULL,NULL,NULL
2886,90,47,"June Salary",NULL,NULL,NULL
2885,90,47,"May Salary",NULL,NULL,NULL
2884,74,47,"Party Gifts",NULL,NULL,NULL
2883,71,47,"water pipes",NULL,NULL,NULL
2882,94,47,"Salvage Blockage",NULL,NULL,NULL
2888,102,47,"Tax consultant",NULL,NULL,NULL
2889,102,47,"PAYE May",NULL,NULL,NULL
2890,102,47,"PAYE June",NULL,NULL,NULL
3112,89,47,"Note Books",NULL,NULL,NULL
3113,94,47,"Painting deposit",NULL,NULL,NULL
3114,84,47,"Deposit for cardgan",NULL,NULL,NULL
3115,94,47,"Part payment 4 painting",NULL,NULL,NULL
3116,81,47,"Transpotation 4 uniforms ",NULL,NULL,NULL
3117,300,47,"planting of flowers",NULL,NULL,NULL
3118,300,47,"part payment 4 flowers",NULL,NULL,NULL
3119,83,47,"U .S.E Text books",NULL,NULL,NULL
3120,102,47,"Tenement Rate premises inspection 2022",NULL,NULL,NULL
3121,102,47,"Tenement Rate 2022/2023",NULL,NULL,NULL
3122,94,47,"Paid for the remaining paint Balance",NULL,NULL,NULL
3123,71,47,cement,31,15,"ROOM KEY REPLACEMENT"
3922,506,47,"TOYS 4 The creche",NULL,NULL,NULL
3923,94,47,"ALMINIUM WIDOWS  FIXED",NULL,NULL,NULL
