SubcategoryIDOld,CategoryIDOld,InstitutionID,SubcategoryTitle,SubcategoryIDNew,CategoryIDNew,SubcategoryTitleNew
3818,264,79," SCH BUS 2",NULL,NULL,NULL
3819,263,79,"SCH BUS 1",NULL,NULL,NULL
3820,263,79," SCH BUS 2",NULL,NULL,NULL
3821,266,79,"SCH BUS 1",NULL,NULL,NULL
3822,266,79," SCH BUS 2",NULL,NULL,NULL
3823,259,79,"SCH BUS 1",NULL,NULL,NULL
3824,259,79," SCH BUS 2",NULL,NULL,NULL
3825,419,79,"SCH BUS 1",NULL,NULL,NULL
3826,419,79," SCH BUS 2",NULL,NULL,NULL
3827,277,79,"SCH BUS 1",NULL,NULL,NULL
3828,277,79," SCH BUS 2",NULL,NULL,NULL
3830,297,79,"SCH BUS 1",NULL,NULL,NULL
3831,297,79," SCH BUS 2",NULL,NULL,NULL
3832,265,79,"SCH BUS 1",NULL,NULL,NULL
3833,265,79," SCH BUS 2",NULL,NULL,NULL
3834,267,79,"SCH BUS 1",NULL,NULL,NULL
3835,267,79," SCH BUS 2",NULL,NULL,NULL
3836,260,79,"SCH BUS 1",NULL,NULL,NULL
3837,260,79," SCH BUS 2",NULL,NULL,NULL
3838,258,79,"SCH BUS 1",NULL,NULL,NULL
3839,258,79," SCH BUS 2",NULL,NULL,NULL
3840,284,79,"SCH BUS 1",NULL,NULL,NULL
3841,284,79," SCH BUS 2",NULL,NULL,NULL
3842,475,79,"SCH BUS 1",NULL,NULL,NULL
3843,475,79," SCH BUS 2",NULL,NULL,NULL
3844,246,79,"SCH BUS 1",NULL,NULL,NULL
3845,246,79," SCH BUS 2",NULL,NULL,NULL
3846,502,79,"SCH BUS 1",NULL,NULL,NULL
3847,502,79," SCH BUS 2",NULL,NULL,NULL
3848,247,79,"SCH BUS 1",NULL,NULL,NULL
3849,247,79," SCH BUS 2",NULL,NULL,NULL
3850,250,79,"SCH BUS 1",NULL,NULL,NULL
3851,250,79," SCH BUS 2",NULL,NULL,NULL
3852,251,79,"SCH BUS 1",NULL,NULL,NULL
3853,251,79," SCH BUS 2",NULL,NULL,NULL
3854,293,79,"SCH BUS 1",NULL,NULL,NULL
3855,293,79," SCH BUS 2",NULL,NULL,NULL
3856,248,79,"SCH BUS 1",NULL,NULL,NULL
3857,248,79," SCH BUS 2",NULL,NULL,NULL
3858,249,79,"SCH BUS 1",NULL,NULL,NULL
3859,249,79," SCH BUS 2",NULL,NULL,NULL
3860,278,79,"SCH BUS 1",NULL,NULL,NULL
3861,278,79," SCH BUS 2",NULL,NULL,NULL
3862,296,79,"SCH BUS 1",NULL,NULL,NULL
3863,296,79," SCH BUS 2",NULL,NULL,NULL
3864,252,79,"SCH BUS 1",NULL,NULL,NULL
3865,252,79," SCH BUS 2",NULL,NULL,NULL
3866,253,79,"SCH BUS 1",NULL,NULL,NULL
3867,253,79," SCH BUS 2",NULL,NULL,NULL
3868,504,79,"SCH BUS 1",NULL,NULL,NULL
3869,504,79," SCH BUS 2",NULL,NULL,NULL
3870,257,79,"SCH BUS 1",NULL,NULL,NULL
3871,257,79," SCH BUS 2",NULL,NULL,NULL
3872,281,79,"SCH BUS 1",NULL,NULL,NULL
3873,281,79," SCH BUS 2",NULL,NULL,NULL
3874,282,79,"SCH BUS 1 ",NULL,NULL,NULL
3875,282,79," SCH BUS 2",NULL,NULL,NULL
3876,283,79,"SCH BUS 1 ",NULL,NULL,NULL
3877,283,79," SCH BUS 2",NULL,NULL,NULL
3882,276,79,"SCH BUS 1",NULL,NULL,NULL
3883,276,79," SCH BUS 2",NULL,NULL,NULL
3884,268,79,"SH BUS 1",NULL,NULL,NULL
3885,268,79," SCH BUS 2",NULL,NULL,NULL
